fuzzy, score: 1465
mummy, score: 1502
vivid, score: 1503
mamma, score: 1531
puppy, score: 1544
civic, score: 1583
jiffy, score: 1585
fizzy, score: 1592
fluff, score: 1598
jazzy, score: 1619
woozy, score: 1631
bobby, score: 1637
pygmy, score: 1642
mommy, score: 1651
booby, score: 1660
mimic, score: 1672
mimic, score: 1672
dizzy, score: 1678
dizzy, score: 1678
dizzy, score: 1678
whiff, score: 1687
whiff, score: 1687
puffy, score: 1689
shush, score: 1692
shush, score: 1692
kappa, score: 1702
buddy, score: 1709
minim, score: 1714
humph, score: 1722
jumpy, score: 1723
magma, score: 1725
gamma, score: 1726
muddy, score: 1727
muddy, score: 1727
guppy, score: 1730
bluff, score: 1745
kayak, score: 1746
mammy, score: 1755
twixt, score: 1759
twixt, score: 1759
ninny, score: 1775
foggy, score: 1783
foggy, score: 1783
madam, score: 1785
chick, score: 1786
whoop, score: 1787
queue, score: 1789
chock, score: 1793
jumbo, score: 1795
which, score: 1798
woody, score: 1799
woody, score: 1799
goofy, score: 1801
femme, score: 1805
biddy, score: 1806
funny, score: 1807
giddy, score: 1809
affix, score: 1812
skiff, score: 1814
motto, score: 1815
humus, score: 1820
buxom, score: 1822
gypsy, score: 1823
piggy, score: 1826
bunny, score: 1830
fully, score: 1832
vigil, score: 1834
fussy, score: 1836
sissy, score: 1840
sissy, score: 1840
bongo, score: 1845
hobby, score: 1846
hobby, score: 1846
tooth, score: 1847
tooth, score: 1847
moody, score: 1848
kinky, score: 1853
kinky, score: 1853
plump, score: 1855
plump, score: 1855
gruff, score: 1856
bully, score: 1857
quick, score: 1861
jolly, score: 1862
livid, score: 1863
mucky, score: 1866
mucky, score: 1866
pizza, score: 1867
pizza, score: 1867
hunch, score: 1869
hunch, score: 1869
skunk, score: 1871
llama, score: 1876
gully, score: 1877
funky, score: 1882
fifth, score: 1883
fifth, score: 1883
pulpy, score: 1884
pulpy, score: 1884
stuff, score: 1885
stuff, score: 1885
baggy, score: 1886
swoop, score: 1887
swoop, score: 1887
dumpy, score: 1888
widow, score: 1889
widow, score: 1889
widow, score: 1889
quill, score: 1891
quill, score: 1891
quill, score: 1891
swish, score: 1893
swish, score: 1893
swish, score: 1893
pooch, score: 1895
pooch, score: 1895
hussy, score: 1896
pudgy, score: 1899
pudgy, score: 1899
icing, score: 1900
icing, score: 1900
guava, score: 1902
dully, score: 1903
papal, score: 1904
papal, score: 1904
macaw, score: 1906
chump, score: 1907
fifty, score: 1908
plaza, score: 1910
plaza, score: 1910
plaza, score: 1910
shook, score: 1911
shook, score: 1911
shook, score: 1911
wimpy, score: 1913
wimpy, score: 1913
wimpy, score: 1913
civil, score: 1914
assay, score: 1917
assay, score: 1917
willy, score: 1918
undid, score: 1919
furry, score: 1921
furry, score: 1921
wedge, score: 1922
wedge, score: 1922
flood, score: 1924
flood, score: 1924
flood, score: 1924
couch, score: 1925
verve, score: 1926
jewel, score: 1927
jewel, score: 1927
ninja, score: 1928
musky, score: 1929
musky, score: 1929
musky, score: 1929
skull, score: 1930
folly, score: 1931
folly, score: 1931
witty, score: 1932
witty, score: 1932
forgo, score: 1933
forgo, score: 1933
lobby, score: 1934
lobby, score: 1934
lobby, score: 1934
wooly, score: 1935
wooly, score: 1935
myrrh, score: 1936
ruddy, score: 1937
ruddy, score: 1937
vying, score: 1938
vying, score: 1938
unzip, score: 1939
unzip, score: 1939
unzip, score: 1939
unzip, score: 1939
unzip, score: 1939
idiom, score: 1940
idiom, score: 1940
thigh, score: 1941
thigh, score: 1941
knack, score: 1942
weedy, score: 1943
weedy, score: 1943
weedy, score: 1943
whack, score: 1944
lipid, score: 1945
tatty, score: 1946
tatty, score: 1946
tatty, score: 1946
paddy, score: 1947
paddy, score: 1947
tight, score: 1948
tight, score: 1948
tight, score: 1948
timid, score: 1949
timid, score: 1949
timid, score: 1949
timid, score: 1949
timid, score: 1949
nymph, score: 1950
nymph, score: 1950
geeky, score: 1952
geeky, score: 1952
refer, score: 1953
refer, score: 1953
uvula, score: 1954
uvula, score: 1954
uvula, score: 1954
uvula, score: 1954
manga, score: 1955
manga, score: 1955
manga, score: 1955
mossy, score: 1956
mossy, score: 1956
mossy, score: 1956
whisk, score: 1957
whisk, score: 1957
whisk, score: 1957
swoon, score: 1958
swoon, score: 1958
swoon, score: 1958
plumb, score: 1960
thumb, score: 1961
thumb, score: 1961
thumb, score: 1961
thumb, score: 1961
thumb, score: 1961
thumb, score: 1961
thumb, score: 1961
thumb, score: 1961
visit, score: 1962
visit, score: 1962
visit, score: 1962
visit, score: 1962
visit, score: 1962
stiff, score: 1963
stiff, score: 1963
swash, score: 1964
swash, score: 1964
swash, score: 1964
swash, score: 1964
swash, score: 1964
swash, score: 1964
